scenario_id,bus_id,Pd_MW
1,1,0.0
1,2,19.53
1,3,84.78
1,4,43.02
1,5,6.84
1,6,10.08
1,7,0.0
1,8,0.0
1,9,26.55
1,10,8.1
1,11,3.15
1,12,5.49
1,13,12.15
1,14,13.41
2,1,0.0
2,2,21.7
2,3,94.2
2,4,47.8
2,5,7.6
2,6,11.2
2,7,0.0
2,8,0.0
2,9,29.5
2,10,9.0
2,11,3.5
2,12,6.1
2,13,13.5
2,14,14.9
3,1,0.0
3,2,23.87
3,3,103.62
3,4,52.58
3,5,8.36
3,6,12.32
3,7,0.0
3,8,0.0
3,9,32.45
3,10,9.9
3,11,3.85
3,12,6.71
3,13,14.85
3,14,16.39
4,1,0.0
4,2,20.615
4,3,89.49
4,4,45.41
4,5,7.22
4,6,10.64
4,7,0.0
4,8,0.0
4,9,28.025
4,10,8.55
4,11,3.325
4,12,5.795
4,13,12.825
4,14,14.155
5,1,0.0
5,2,22.785
5,3,98.91
5,4,50.19
5,5,7.98
5,6,11.76
5,7,0.0
5,8,0.0
5,9,30.975
5,10,9.45
5,11,3.675
5,12,6.405
5,13,14.175
5,14,15.645
